SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
440863,0,Cash loans,M,Y,Y,2,135000.0,358443.0,13639.5,252000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.016612000000000002,-11361,-526,-3480.0,-3970,18.0,1,1,0,1,1,0,Laborers,3.0,2,2,TUESDAY,14,0,0,0,0,0,0,Industry: type 7,0.26058726033334456,0.4113464175035096,0.7992967832109371,0.0835,0.0475,0.9836,0.7756,0.0172,0.08,0.0345,0.4583,0.5,0.0554,0.0681,0.0762,0.0039,0.0081,0.0851,0.0493,0.9836,0.7844,0.0174,0.0806,0.0345,0.4583,0.5,0.0567,0.0744,0.0794,0.0039,0.0086,0.0843,0.0475,0.9836,0.7786,0.0173,0.08,0.0345,0.4583,0.5,0.0564,0.0693,0.0776,0.0039,0.0083,reg oper account,block of flats,0.0712,"Stone, brick",No,0.0,0.0,0.0,0.0,-1601.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
206050,0,Cash loans,M,Y,N,0,99000.0,545040.0,25537.5,450000.0,"Spouse, partner",Working,Higher education,Married,House / apartment,0.006296,-15234,-858,-7732.0,-4756,5.0,1,1,0,1,0,0,Laborers,2.0,3,3,TUESDAY,11,0,0,0,1,1,0,Business Entity Type 3,0.6509472801358307,0.6712953774939853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1506.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
354672,0,Cash loans,F,Y,Y,1,180000.0,1432647.0,42021.0,1251000.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.006008,-9498,-410,-4227.0,-2155,7.0,1,1,0,1,1,0,Private service staff,3.0,2,2,TUESDAY,13,0,0,0,0,1,1,Self-employed,0.5050036061398054,0.09734539768143108,0.1008037063175332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,0.0,-799.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,6.0
182098,0,Revolving loans,F,N,Y,0,135000.0,180000.0,9000.0,180000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.028663,-8683,-773,-3373.0,-1342,,1,1,0,1,1,0,Core staff,2.0,2,2,TUESDAY,13,0,0,0,0,0,0,Self-employed,,0.4571212647468767,,0.0412,0.0619,0.9851,0.7959999999999999,0.006999999999999999,0.0,0.1034,0.1667,0.2083,0.0286,0.0336,0.0255,0.0,0.0,0.042,0.0642,0.9851,0.804,0.0071,0.0,0.1034,0.1667,0.2083,0.0292,0.0367,0.0266,0.0,0.0,0.0416,0.0619,0.9851,0.7987,0.0071,0.0,0.1034,0.1667,0.2083,0.0291,0.0342,0.026000000000000002,0.0,0.0,reg oper account,block of flats,0.0332,"Stone, brick",No,3.0,2.0,3.0,2.0,-419.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,
101999,0,Cash loans,F,N,Y,0,76500.0,284400.0,19003.5,225000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.020713,-12589,-2085,-389.0,-3666,,1,1,1,1,0,0,Laborers,2.0,3,3,WEDNESDAY,13,0,0,0,0,0,0,Kindergarten,0.2855570054912585,0.11658984652982847,0.6528965519806539,0.0907,0.1029,0.9856,0.8028,0.012,0.0,0.2069,0.1667,0.2083,0.0574,0.0731,0.0852,0.0039,0.0077,0.0924,0.1068,0.9856,0.8105,0.0121,0.0,0.2069,0.1667,0.2083,0.0587,0.0799,0.0888,0.0039,0.0082,0.0916,0.1029,0.9856,0.8054,0.0121,0.0,0.2069,0.1667,0.2083,0.0584,0.0744,0.0868,0.0039,0.0079,reg oper account,block of flats,0.0753,Panel,No,7.0,2.0,7.0,2.0,-1562.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0
327012,0,Cash loans,M,Y,N,1,225000.0,450000.0,25834.5,450000.0,Unaccompanied,State servant,Lower secondary,Married,House / apartment,0.02461,-18235,-3729,-4660.0,-1762,6.0,1,1,0,1,1,0,Drivers,3.0,2,2,MONDAY,14,0,0,0,0,1,1,Other,,0.6816371150308159,0.375711009574066,0.0021,,0.9796,,,,,0.0,,,,0.0021,,,0.0021,,0.9796,,,,,0.0,,,,0.0022,,,0.0021,,0.9796,,,,,0.0,,,,0.0021,,,,block of flats,0.0016,Block,No,0.0,0.0,0.0,0.0,-907.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,5.0
266409,0,Cash loans,F,N,N,2,103500.0,251091.0,26496.0,238500.0,Unaccompanied,Working,Higher education,Married,With parents,0.002134,-10147,-562,-4245.0,-529,,1,1,0,1,0,0,Core staff,4.0,3,3,SATURDAY,12,0,0,0,0,0,0,School,,0.4192634876688892,0.3046721837533529,0.2433,0.2996,0.9871,0.8232,,0.0,0.4828,0.1667,0.0417,,,0.1077,,0.027000000000000003,0.2479,0.3109,0.9871,0.8301,,0.0,0.4828,0.1667,0.0417,,,0.1122,,0.0286,0.2457,0.2996,0.9871,0.8256,,0.0,0.4828,0.1667,0.0417,,,0.1096,,0.0276,reg oper account,block of flats,0.157,"Stone, brick",No,4.0,0.0,4.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
168070,0,Cash loans,F,N,Y,0,112500.0,760225.5,30280.5,679500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.010147,-19145,-4925,-10012.0,-2670,,1,1,0,1,0,0,Sales staff,2.0,2,2,THURSDAY,11,0,0,0,0,0,0,Self-employed,,0.19421511211361847,0.8027454758994178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,3.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,7.0
217897,0,Cash loans,F,N,N,0,225000.0,152820.0,14886.0,135000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.022625,-23444,365243,-8845.0,-4600,,1,0,0,1,0,0,,2.0,2,2,SATURDAY,11,0,0,0,0,0,0,XNA,0.8255323511915799,0.5347861205432357,0.8482442999507556,0.0928,0.114,0.9881,0.8368,0.0147,0.0,0.2069,0.1667,0.2083,0.0247,0.07400000000000001,0.087,0.0077,0.0074,0.0945,0.1183,0.9881,0.8432,0.0148,0.0,0.2069,0.1667,0.2083,0.0253,0.0808,0.0906,0.0078,0.0079,0.0937,0.114,0.9881,0.8390000000000001,0.0148,0.0,0.2069,0.1667,0.2083,0.0251,0.0752,0.0885,0.0078,0.0076,reg oper account,block of flats,0.07,Panel,No,3.0,0.0,3.0,0.0,-2195.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
288017,0,Revolving loans,M,Y,Y,2,270000.0,450000.0,22500.0,450000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.018029,-12740,-2750,-2250.0,-2099,64.0,1,1,0,1,0,0,Laborers,4.0,3,3,MONDAY,7,0,0,0,0,0,0,Other,,0.6785303378624011,0.4561097392782771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1583.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,3.0
258382,0,Cash loans,F,N,N,0,157500.0,474048.0,22095.0,360000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0.020246,-11864,-227,-4259.0,-4397,,1,1,1,1,1,0,Sales staff,1.0,3,3,THURSDAY,13,0,0,0,0,0,0,Trade: type 7,0.20495658574656805,0.10030145685680343,,0.1227,0.1315,0.9771,0.6872,0.0177,0.0,0.2759,0.1667,0.2083,0.1012,0.1,0.1017,0.0,0.0,0.125,0.1364,0.9772,0.6994,0.0178,0.0,0.2759,0.1667,0.2083,0.1035,0.1093,0.1059,0.0,0.0,0.1239,0.1315,0.9771,0.6914,0.0178,0.0,0.2759,0.1667,0.2083,0.1029,0.1018,0.1035,0.0,0.0,reg oper account,block of flats,0.0896,Panel,No,1.0,0.0,1.0,0.0,-3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
167350,0,Cash loans,F,N,N,0,112500.0,225000.0,12564.0,225000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,Office apartment,0.008625,-21604,365243,-11847.0,-4341,,1,0,0,1,0,0,,2.0,2,2,FRIDAY,21,0,0,0,0,0,0,XNA,,0.2765890831111472,0.6023863442690867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,-610.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,2.0
262671,0,Cash loans,F,N,N,0,157500.0,452385.0,22131.0,373500.0,Unaccompanied,Working,Incomplete higher,Single / not married,With parents,0.020246,-10977,-180,-5201.0,-3595,,1,1,0,1,1,0,,1.0,3,3,TUESDAY,14,0,0,0,0,0,0,Industry: type 10,0.6452966974320247,0.34971588321874497,0.4668640059537032,0.0619,0.1228,0.9916,0.8844,0.0194,0.0,0.2414,0.1667,0.0,0.0168,0.0496,0.0755,0.0039,0.0606,0.063,0.1275,0.9916,0.8889,0.0196,0.0,0.2414,0.1667,0.0,0.0172,0.0542,0.0786,0.0039,0.0641,0.0625,0.1228,0.9916,0.8859,0.0195,0.0,0.2414,0.1667,0.0,0.0171,0.0504,0.0768,0.0039,0.0619,reg oper account,block of flats,0.0831,"Stone, brick",No,3.0,0.0,3.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0
